,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,長崎新聞社杯1,1,3843,7.0,3,上之晃弘,44,長崎,52,B1,4.1,23.46,5.95,42.76,0.0,38.71
1,長崎新聞社杯1,2,4164,7.0,2,岩永節也,38,長崎,52,B1,4.13,19.28,4.56,20.97,28.57,15.38
2,長崎新聞社杯1,3,4248,7.06,4,岡本　大,38,長崎,54,B1,4.63,26.53,5.3,31.58,40.0,30.3
3,長崎新聞社杯1,4,3906,6.98,6,飯山晃三,42,長崎,59,B1,4.82,27.03,5.6,38.96,38.46,10.53
4,長崎新聞社杯1,5,4213,7.05,5,重富伸也,36,長崎,54,B1,4.37,25.0,5.04,30.85,35.71,25.0
5,長崎新聞社杯1,6,4747,7.04,1,山戸信二,35,長崎,51,B1,3.65,14.12,4.35,21.26,12.5,25.0
6,長崎新聞社杯2,1,4070,7.02,4,中村亮太,39,長崎,50,A2,6.75,49.56,7.08,60.0,27.27,41.18
7,長崎新聞社杯2,2,5048,7.05,1,眞鳥康太,26,長崎,55,B1,2.62,7.87,2.73,3.92,23.08,43.48
8,長崎新聞社杯2,3,3491,7.0,6,富永　茂,52,福岡,51,B1,4.09,15.31,3.93,15.22,5.56,56.25
9,長崎新聞社杯2,4,4315,6.97,2,山崎昂介,36,長崎,54,B1,4.39,25.29,4.73,23.36,28.57,42.11
10,長崎新聞社杯2,5,3527,6.99,3,中嶋誠一,49,長崎,50,A2,6.1,39.29,6.43,48.36,26.47,40.48
11,長崎新聞社杯2,6,3777,6.97,5,樋口　亮,45,長崎,51,B1,5.64,40.0,6.27,47.48,33.33,25.93
12,長崎新聞社杯3,1,4424,6.97,2,松尾昂明,35,福岡,50,A2,6.21,48.09,6.8,46.67,22.73,14.29
13,長崎新聞社杯3,2,4614,7.02,3,石倉洋行,40,福岡,53,A1,6.27,45.0,6.9,56.67,20.0,42.42
14,長崎新聞社杯3,3,4523,7.0,1,中村辰也,32,長崎,51,A2,5.4,39.51,6.05,41.26,31.03,52.94
15,長崎新聞社杯3,4,4004,7.02,6,山本浩輔,42,長崎,52,B1,4.09,23.08,5.54,38.41,25.0,48.48
16,長崎新聞社杯3,5,4919,6.97,4,吉田翔悟,29,長崎,52,B1,4.42,26.51,3.86,15.32,12.0,41.18
17,長崎新聞社杯3,6,5009,7.05,5,大賀龍之,23,福岡,56,B1,3.77,14.89,1.4,0.0,9.52,13.64
18,長崎新聞社杯4,1,4553,6.94,1,坪口竜也,31,長崎,53,A2,5.49,32.38,5.95,39.13,35.71,18.18
19,長崎新聞社杯4,2,4259,7.01,2,真庭明志,36,長崎,52,A2,5.83,41.98,5.92,42.04,22.22,39.13
20,長崎新聞社杯4,3,5071,6.99,6,野見山拓,26,福岡,51,B2,2.02,5.88,1.61,0.0,40.0,20.69
21,長崎新聞社杯4,4,4352,6.99,5,下條雄太,34,長崎,52,A1,7.06,55.45,7.4,57.14,37.84,35.29
22,長崎新聞社杯4,5,3936,7.03,3,三瀬　譲,42,長崎,56,B1,4.36,22.73,4.95,29.6,29.17,17.39
23,長崎新聞社杯4,6,3752,6.97,4,宇土泰就,49,福岡,54,B1,4.49,25.0,4.55,29.55,31.25,62.07
24,長崎新聞社杯5,1,3944,6.99,2,山口裕二,41,長崎,53,A1,6.35,40.31,7.51,61.66,8.33,4.76
25,長崎新聞社杯5,2,3349,7.0,1,吉田一郎,52,長崎,51,A2,6.37,52.0,6.94,55.3,33.33,37.5
26,長崎新聞社杯5,3,4715,7.04,5,村上　遼,28,長崎,51,A2,6.46,45.56,6.29,47.13,20.83,30.3
27,長崎新聞社杯5,4,3151,7.01,4,落合敬一,56,長崎,56,B1,3.7,10.0,5.16,33.33,44.44,44.83
28,長崎新聞社杯5,5,4747,7.07,3,山戸信二,35,長崎,51,B1,3.65,14.12,4.35,21.26,12.5,25.0
29,長崎新聞社杯5,6,4193,6.92,6,郷原章平,38,福岡,53,A1,6.47,52.94,6.17,55.56,53.85,69.57
30,長崎新聞社杯6,1,4504,6.97,1,前田将太,32,福岡,54,A1,7.51,59.59,6.41,40.74,27.59,13.04
31,長崎新聞社杯6,2,3491,6.98,2,富永　茂,52,福岡,51,B1,4.09,15.31,3.93,15.22,5.56,56.25
