レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
ルーキーシリーズ第１６戦1,210,120,230,1020,1040,180,120,140,2850,240
ルーキーシリーズ第１６戦2,200,130,140,240,340,160,150,270,820,510
ルーキーシリーズ第１６戦3,310,250,330,490,410,180,200,290,1530,450
ルーキーシリーズ第１６戦4,110,100,290,390,330,170,170,260,760,420
ルーキーシリーズ第１６戦5,130,100,120,240,180,160,120,170,410,190
ルーキーシリーズ第１６戦6,750,220,130,2400,310,130,150,110,4970,220
ルーキーシリーズ第１６戦7,120,130,170,290,260,120,110,140,530,180
ルーキーシリーズ第１６戦8,100,100,230,470,360,270,120,450,1050,400
ルーキーシリーズ第１６戦9,120,110,370,710,710,220,120,360,1910,470
ルーキーシリーズ第１６戦10,120,100,1000,4320,2870,610,130,1180,15750,2540
ルーキーシリーズ第１６戦11,170,100,120,310,290,130,150,290,740,370
ルーキーシリーズ第１６戦12,160,190,420,800,800,180,200,330,2150,940
スポーツ報知杯1,110,100,300,910,660,240,120,400,2110,420
スポーツ報知杯2,240,110,100,370,130,140,390,350,1250,530
スポーツ報知杯3,130,110,310,850,700,220,110,600,2850,860
スポーツ報知杯4,130,110,120,280,170,130,270,360,1760,700
スポーツ報知杯5,210,190,330,1770,1220,350,310,1200,10240,2480
スポーツ報知杯6,180,140,230,3000,1070,450,170,320,7370,830
スポーツ報知杯7,870,200,410,5010,3240,700,410,600,11250,1930
スポーツ報知杯8,500,150,120,3850,990,430,600,320,9080,1710
スポーツ報知杯9,280,170,420,5400,2650,410,870,2970,41880,9470
スポーツ報知杯10,100,110,250,210,230,120,210,380,930,380
スポーツ報知杯11,130,110,820,2650,1970,500,170,1020,9030,1450
スポーツ報知杯12,100,100,510,2190,2020,460,130,670,7760,1440
第１４回ペラ坊ショップ杯1,100,160,170,270,660,270,410,150,1980,1470
第１４回ペラ坊ショップ杯2,290,150,270,1930,530,180,200,200,3560,570
第１４回ペラ坊ショップ杯3,200,120,250,670,550,450,380,660,3670,1180
第１４回ペラ坊ショップ杯4,150,180,1160,6550,5020,1220,430,1990,28150,5870
第１４回ペラ坊ショップ杯5,160,160,350,1070,460,310,1400,460,5860,1380
第１４回ペラ坊ショップ杯6,310,170,160,600,530,180,430,350,3600,890
第１４回ペラ坊ショップ杯7,200,120,170,400,240,350,230,570,3140,1210
第１４回ペラ坊ショップ杯8,140,120,100,620,280,220,680,880,4100,2270
第１４回ペラ坊ショップ杯9,4010,1010,110,8520,2910,300,3000,800,70820,9720
第１４回ペラ坊ショップ杯10,130,100,120,240,260,110,360,680,1310,770
第１４回ペラ坊ショップ杯11,100,190,380,1170,870,400,190,980,4080,1030
第１４回ペラ坊ショップ杯12,750,320,170,2860,900,300,570,580,10950,3250
ポカリスエットカップ1,140,110,120,750,620,210,270,230,2120,780
ポカリスエットカップ2,100,110,300,780,640,210,140,290,2810,510
ポカリスエットカップ3,230,160,330,680,860,280,150,450,3000,860
ポカリスエットカップ4,100,100,230,1070,690,210,160,240,2170,410
ポカリスエットカップ5,110,110,340,580,340,190,240,650,1880,720
ポカリスエットカップ6,400,390,460,28270,5560,1540,520,420,65230,1920
ポカリスエットカップ7,100,100,130,630,530,290,210,660,2050,870
ポカリスエットカップ8,130,100,150,170,190,130,180,290,510,280
ポカリスエットカップ9,1710,310,100,1510,490,250,1580,370,12690,2510
ポカリスエットカップ10,2810,540,210,10040,1740,640,2000,1420,68800,3690
